Spanish	Russian
soñar	сниться, мечтать
el caballo	конь
el torero	тореадор
el picador	пикадор
en ninguna parte	нигде
a ninguna parte	никуда
acostarse	ложиться, лечь, лечь спать
el lugar	место, местность, достопримечательность
la lástima	жалость, сожаление
el turista	турист
la verdad es que	по правде говоря
anoche	ночью
tener que ver	нужно увидеть
lo más posible	как можно больше
qué lástima!	как жаль!
eso es verdad	это правда

