Spanish	Russian
el domingo	воскресенье
despertarse	просыпаться
comer	есть, кушать
pero	но, только, однако
estirarse	потягиваться, вытягивать
el calendario	календарь
la fotografía	фотография
mirar	смотреть
pensar	думать, полагать, считать
la delicia	удовольствие
coger	брать
leer	читать
beber	пить
fumar	курить
el cigarro	сигара
la novia	невеста
el novio	жених
ya	уже
esperar	ожидать, ждать
dar	предоставлять, давать, дать
la mano	рука
la madre	мама, мать
el padre	папа, отец
besar	целовать, поцеловать
la comida	еда, обед
todo	весь
todos	все
la sopa	суп
la carne	мясо
la patata	картошка, картофель, картоха
la fruta	фрукт
el vino	вино
una taza de café	чашка кофе
la hora de la comida	время обеда
después de la comida	после обеда
el alumno	ученик
