Spanish	Russian
todavía no	ещё нет
acabo de hablar	я только что говорил
a media	в половине
dejar pasar	позволить пройти, пропустить момент
todo estará perdido	все будет потеряно
acabar	кончить, закончить
el teléfono	телефон
el tirano	тиран, мучитель
arbitrario	произвольный самоуправный
irritable	раздражительный
neurasténico	неврастеничный
gangoso	гнусавый
solemne	торжественный
subir	входить, войти
echarse	броситься, лечь
indudablemente	несомненно
traer	приносить, вызывать
dejar	оставлять, позволять
perdido	потерянный
la declaración	признание
la criada	служанка
presentarse	проявляться, представиться
meterse	войти
el cuarto de baño	ванная
graduar	мерить, замерять, измерять температуру
desnudarse	раздеваться
el pie	ступня, нога
luego	потом
el instante	момент
