Spanish	Russian
el balneario	курорт
contento	рад, довольный
el lugar	место
mandar	послать, прислать
querido	дорогой
durante	в течение, во время
la semana	неделя
el médico	доктор, врач
aconsejar	давать совет, советовать
poco	мало
la enfermedad	болезнь
sobre todo	прежде всего
cansar	надоедать
excelente	превосходный
la descripción	описание
el hombre	человек
tratar	обращаться, привычно иметь дело
el tranvía	трамвай
la oficina	канцелярия
la redacción	редакция
charlar	разговаривать, беседовать
marchar	ходить
el pasillo	коридор
la carretera	шоссе
las aguas	вода
el veraneante	курортник
rápidamente	быстро, скоро
el baño	ванна
el resto	остаток, остальное
el día	день
libre	свободный
por ahora	пока, пока ещё
en lugar de	вместо
todo esto	все это
se puede decir	можно сказать
tomar el baño	принимать ванну, брать ванну
