Spanish	Russian
el botón	пуговица
formidable	ужасный, страшный
el estampido	крик, сильный звук, звук выстрела, шум
alto!	стой!
volverse	повернуться, вернуться
movido	побуждаемый, приведенный в движение
el resorte	пружина
secuaestrar	похищать, лишать свободы
el silencio	тишина
el terror	страх
clavado	пригвожденный, пригвожденный к месту
rígido	застывший, окоченелый
el bandido	бандит
el miserable	подлец, негодяй
ardiente	пламенный, жгучий
devorar	уничтожать, пожирать, поглощать
pálido	бледный
adelantar	выступить, идти, идти вперед
el paso	шаг
cerrar	закрывать
que estaría	что будет
borrado	вычеркнутый
vivo	живой
fue	стал, был
así	таким образом, так
la fortuna	счастье
la curiosidad	любопытство
prohibir	запретить, запрещать
alejarse	удаляться
tapar	закрывать
la cara	лицо
sollozar	рыдать
llorar	плакать
sorprendido	удивленный, пораженный
demudarse	меняться в лице
acercar	подойти, приближаться
separar	разделить, отнять, отнимать
enjugar	вытирать, вытирать слезы, вытирать пот
la lágrima	слеза
el pañuelo	носовой платок, платок
abrazar	обнимать
perdona!	извини!, прости!
está bien	хорошо, пусть
por fortuna	к счастью, на счастье
a uno en pos de otro	одного за другим
otra vez	снова, следующий раз
de quién eres?	чей ты?
volver la cabeza	повернуть голову
