Spanish	Russian
casa de huéspedes	пансион, меблированные комнаты
citar	цитировать
citado	цитированные
el precio	цена
opíparo	чудесный, прекрасный, обильный
el almuerzo	второй завтрак
variado	разнообразный
en cuanto a	что касается, а что касается, относительно
la materia	содержание
variar	меняться
infinitamente	беспрерывно, бесконечно
la forma	форма
el huesped	постоялец, гость
almorzar	обедать, есть второй завтрак
el par	пара, два
el huevo	яйцо
la naranja	апельсин
u	или
la jicarita	чашечка
rico	вкусный
el chocolate	шоколад
la variación	разнообразие
el modo	вид, способ
frito	жареный
ya ... ya	или ... или
los huevos revueltes	яичница
el tomate	помидор
el huevo pasado por agua	яйцо всмятку
la tortilla	омлет
espléndido	прекрасный
el puchero	похлебка (густой суп с говядиной и овощами)
la morcilla	кровяная колбаса (с рисом и луком)
el tocino	свиное сало
la abundancia	изобилие, множество
por último	наконец
el principio	мясное блюдо
el postre	десерт
unos días más tarde	несколько дней спустя
he aquí	вот, вот здесь, тут
en vez de	вместо
una naranja u otra fruta	апельсин и другой фрукт
