Spanish	Russian
el fin	конец
prevenido	осторожный, предусмотрительный
cauto	осторожный
el descuido	небрежность, невнимательность
guardar	сохранять, хранить
la cartera	бумажник, портфель
tembloroso	дрожащий
los celos	ревность
la compasión	сочувствие
el miedo	страх
la vergüenza	стыд
echar mano	схватить
allí	там
sí	да
aquél	тот
aquélla	та
el mismo	тот же, тот самый, такой же
recordar	помнить
detenerse	задержаться
ir	идти, подойти
el rato	какое-то время
agarrar	схватить, вцепиться
la vuelta	оборот
clavar	уствиться
quedar	оставаться, продолжать находиться
atónito	пораженный
primero	сначала
el primero	первый
pálido	бледный
el rubor	краска от стыда
encendido de rubor	покрасневший от стыда
grueso	крупный
rodar	катиться
quedar pálido	побледнеть
quedar atónito	удивиться
quedar en casa	остаться дома
al descuido	небрежно, по небрежности
dar vuelta	повернуть
quedar encendido	покраснеть
él mismo	он сам, он лично
la misma	та самая, такая же
ella misma	она сама, она лично

