Spanish	Russian
sobre	о, про
extenso	обширный
federado	федеративный
ocupar	занимать
tres cuartos	три четверти
el mapa	карта
la superficie	поверхность, площадь
la población	население
la mitad	половина
el habitante	житель
extenderse	тянуться, растягиваться
desde ... hasta ...	от ... до ...
el mar	море
el océano	океан
pacífico	спокойный, тихий
glacial	ледяной, холодный
el mar Negro	Черное море
el mar Caspio	Каспийское море
el Báltico	Балтийское море
más que	более чем, больше чем
más de la mitad	более половины
estar sobre ...	находиться на ...
leer sobre ...	читать о ...
pedir	просить, заказывать, запрашивать
prohibir	запрещать
os prohibo que habléis	запрещаю вам говорить
te pido que no hables	прошу тебя не разговаривать
quiero que me dejes	хочу чтобы ты мне позволил
