Spanish	Russian
habiendo salido	выйдя
especial	специальный, сособенный
llamarse	называться
casarse	жениться, выйти замуж, пожениться
el noviazgo	помолвка, сватовство, обручение
el oído	слух
al oído	на ухо
aunque	хотя
solo	сам, один, одна
lejos	далеко
la persona	лицо, особа, человек
venir	приходить, появляться
la novedad	новость
el milagro	чудо, чудеса
correr	бежать, проходить, протекать, миновать
luego	потом
el correr	бег, течение
convertirse	изменяться, превращаться
la doncella	девушка
fresco	свежий, молодой
esbelto	стройный
la matrona	мать семейства
otoñal	осенний
todavía	ещё
hermoso	красивый
bonito	изящный
la hermosura	красота
el corazón	сердце
el recuerdo	воспоминание
la esperanza	надежда
creer	считать, верить
notar	заметить, замечать
preocupado	озабоченный
mustio	грустный, вялый
buscar	искать
la soledad	одиночество
parecer	казаться
descubrir	открыть, делать открытие
andar	ходить
enamorado	влюбленный
empezar	начинать, начать
acechar	следать
discretamente	осторожно, осмотрительно
la pasión	страсть
menos	меньше, меньше всего
sospechar	подозревать
sorprender	схватить, поймать
besar	целовать
besando	целующий
el retrato	портрет, фотография
retirarse	удаляться, отходить
angustiado	полный тревоги
resuelto	решительный, котовый на
de quién	чья
el correr de años	бег времени
el venir de hijos	появление детей
hasta que un día	однажды
