Spanish	Russian
quedarse	остаться
la continuación	продолжение
continuar	продолжать
barbotar	бормотать
el puro	сигара
humeante	дымящийся
acostarse	ложиться
inmediatamente	немедленно, сейчас же
es que	дело в том что, что касается
entender	понимать
agregar	добавлять
jovialmente	весело, жизнерадостно
el demonio	черт, бес, дьявол
la extravagancia	сумасбродство, чудачество
prescindir	отбрасывать
incorregible	неисправимый
sumergido	погруженный
la tristeza	печаль, тоска
infinito	бесконечный
carga	наступление, атака
volver a la carga	наставать, вернуться к нападению
el polvo	порошок
el estómago	желудок
anteayer	позавчера
la sábana	простыня
el lado	сторона
la lluvia	дождь
extrañarse	удивляться
la bronconeumonía	воспаление легких
ya es tarde	уже поздно
de este modo	таким образом
es preciso	необходимо, нужно, надо
la manera de ser	образ жизни, образ поведения

