Spanish	Russian
el mejor	самый лучший
la profesión	профессия
sabroso	вкусный
gracias	спасибо
estudiar	изучать, учиться
el periodismo	журналистика
cuál?	какой? который?
el peor	смый худший
hacer	исполнять, делать
sin	без
la afición	склонность, пристрастие
el cura	священник, прходский священник
así	так, таким образом
la mía	моя, та которая со мной
fino	тонкий, изящный
sentir	жалеть, чувствовать
comparable	сравниваемый, сравнимый, можно сравнить
la rectoral	дом приходского священника
la aldea	деревня
rodeado	окруженный
la viña	виноградник
el jardin	сад
amueblado	меблированный, обставлнный
el mueble	мебель
el roble	дуб
antiguo	старый
el cuero	кожа, выделанная кожа
mate	матовый
amable	приятный, любезный
sensual	чувственный
glotón	прожорливый
el verso	стихотворение
al arcipreste	протопресвитор
la gallina	курица
poner huevos	сносить яйца
el más grande	самый большой
la ubre	вымя
la vaca	корова
la cabra	коза
exprimido	выжимаемый
virginal	девичий
la zagala	пастушка
el más blanco	самый белый
espumoso	пенящийся
nutritivo	питательный
reservar	сохранять
suculento	сочный, вкусный
la madurez	зрелость
hecho	сделанный
especialmente	специально
la uva	виноград, виноградина
escoger	выбирать, выбирать из нескольких предметов
todavía	ещё, еще, все еще
hace poco	недавно
aludir	намекать
el azar	риск, опасность
por aquí	здесь, здешний
añadir	добавлять, добавить
el alma	душа
el cuerpo	тело
hasta ahora	до сих пор
muchísimas gracias	большое спасибо
lo siento	жаль, жалко
cuánto mejor	гораздо лучше, насколько лучше
ancho	широкий
huerto	огород
quizás	наверное, возможно, может быть
en forma variada	в различном виде

