Spanish	Russian
la puntualidad	пунктуальность
la corrida	бой быков, коррида
el toro	бык
perder el camino	заблудиться, потерять дорогу
abierto	открытый
sorprendido	удивленный
siguiente	слудующий
el asunto	тема, вопрос, тема обсуждения
urgente	срочный, необходимый
ventilar	обсуждать
cualquier	любой, всякий
almorzar	обедать
el mediodía	полдень
ahí	там, тут
por ahí, por ahí	более или менее
sentarse	садиться, сесть
cerca de	около, рядом, у
libre	свободный
perfectamente	превосходно, прекрасно
entonces	тогда, в таком случае
el retraso	опоздание, задержка
añadir	добавить
quien	кто
el fin	конец
en fin	в конце концов, наконец
sin falta	наверное, точно, обязательно
el diablo	черт, дьявол
qué diablos!	какого черта!
quedar	договориться
reunir	встретиться, встречаться
comparecer	появляться, приходить
el camarero	официант
marcharse	уходить
exclamar	восклицать
fijar	установить, определять
correr	бегать, бежать, торопиться
resultar	оказываться
aguardar	ждать, ожидать
lo siguiente	следующее
todo el mundo	все, весь мир
de todos modos	во всяком случае
es decir	то есть, так сказать
al día siguiente	на слудующий день
claro está	конечно, ясно, понятно
días después	несколько дней спустя

