Spanish	Russian
escribit	написать, писать
escribe!	напиши!
escribid!	напишите!
come!	ешь!
comed!	ешьте!
basta	довольно, достаточно
de improviso	неожиданно, вдруг
la mañana	утро, завтра
el sol	солнце
loco	безумный, сумасшедший
querer	желать, хотеть, любить
quiero	хочу
dormir	спать
si	если
el maestro	учитель
la ciudad	город
escuchad!	послушайте
expresar	выражать
cómo	как
la palabra	слово
sencillo	обыкновенный, простой, обычный
el encanto	прелесть, волшебство
la cosa	предмет, вещь, кое-что, нечто
el palacio	дворец, замок
el jardín	парк, сад
cierto	несомненный, определенный
levantaos!	встаньте!
la luz	источник света, освещение, свет
reflejar	отражать
la claridad	сияние, явность, свет
desconcido	неизвестный, незнакомый
el árbol	дерево
poseer	обладать, владеть
la tonalidad	оттенок
el color	цвет
la línea	линия
otro	другой
vemos	видим
ser	быть
estrecho	узкий, тесный
torcido	запутанный, кривой
formado	образованный
viejo	старый, ветхий
alto	высокий
lleno	полный, переполненный
la tienda	магазин, лавка
el piso bajo	нижний этаж
trece	тринадцать
desconocido	неведомый, неизвестный
el vaso	стакан
