Spanish	Russian
probable	правдоподобный, вероятный, возможный
alguien	кто-то, некто, кто-нибудь
aunque	хотя, хотя бы, несмотря на, даже если
cualquiera	кто бы ни был, всякий, каждый
valer	стоить, быть ценным
qué buenos!	какие хорошие!
qué bien!	как хорошо!
es probable	возможно, вероятно
no vale la pena	не стоит, не стоит чего-то
alguien que sepa	кто бы знал
no sé qué	неизвестно что, не знаю что
dar razón	согласиться, признать правоту
es lástima que	жалко что
conviene que	следует, следует чтобы
es dudoso que	сомнительно чтобы
