Spanish	Russian
encontrar	встречаться, встретиться
los míos	мои
los suyos	Ваши
trabajador	трудолюбивый, работающий
los demás	остальные
aún	еще, ещё
la boda	свадьба, бракосочетание
casarse	жениться, выходить замуж
el estudio	учеба, наука, учёба
seguramente	наверное
el esposo	муж, супруг
la razón	аргумент, основание
en cuanto	как только, что касается
pensar	думать, считать
quizás	может быть
así	так
adiós	до свидания
venir a ver	посещать, приходить к кому-нибудь
esto no es una razón	это не аргумент
no es así	это не так

