Spanish	Russian
la cita	свидание
pasar	провести время, переходить
sano	здоровый
fuerte	сильный
saludar	здороваться
en seguida	сейчас же, тотчас
escaparse	убежать, бежать
adónde?	куда?
adonde	куда, там, туда
contar	рассказывать
la ausencia	отсутствие
arreglar	убирать, наводить порядок, делать порядок
nada	ничего
solamente	лишь, только
el mumullo	шепот, шум
el cielo	небо
el porvenir	будущее
o	или
perdonar	простить, извинить
Adónde vas?	Куда ты идешь?
dirante la comida	во время обеда
mientras comía	когда ел, во время приема пищи
de la case	из дому
nada más	ничего больше
perdóneme	извините меня
vigésimo	двадцатый
trigésimo	тридцатый
cuadragésimo	сороковый
quincuagésimo	пятидесятый
sexagésimo	шестидесятый
septuagésimo	семидесятый
octogésimo	восьмидесятый
nonagésimo	девяностый
centésimo	сотый
cien árboles	сто деревьев
