Spanish	Russian
prometer	обещать
a menudo	часто
el coronel	полковник
el apellido	фамилия
la estatura	рост
gigantesco	гигантский
enorme	огромный
los bigotes	усы
el trueno	гром
infundir	вселять, внушать
el pavor	ужас, страх
jugar	играть, играть в игры
la mirada	взор, взгляд
único	единственный
tuerto	одноглазый
apodar	прозвать
hermoso	красивый, прекрасный
regalar	угощать, дарить
el bizcocho	бисквит
el hospiciano	детдомовец
el hospicio	приют, детдом
sin embargo	несмотря на это, однако
preferir	предпочитать
la parte	сторона, часть
concebir	зачать, зарождаться
verdadero	искренний, настоящий, правдивый
la pasión	страсть
el animal	животное
la tarde	вечер
volver	возвращаться. вернуться
soltar	выпускать, отпускать
