Spanish	Russian
la impresión	впечатление
producir	производить
el espectáculo	спектакль, зрелище, представление
ayer	вчера
nacional	народный
característico	характерный
típico	типичный
es difícil	трудно, тяжело
entusiasmarse	восхищаться, приходить в восторг
el colorido	колорит
cruel	жестокий
además	помимо, ещё, еще
nunca	никогда
la élite	элита
lo cual	тот что
lo que	который, что
apasionarse	увлекаться, проникнуться чувством
popular	популярный
la zarzuela	сарсуэла (вид оперетки)
rico	великолепный, пышный, богатый
escénico	сценический
musical	музыкальный
parecido	похожий, подобный
personalmente	лично
triste	печальный, грустный
producir impresión	производить впечатление
algo parecido	нечто подобное
estoy muy triste	мне грустно
lo siento	жалко, сожалею
