Español	Ruso
no	нет
sí	да
el cigarillo	папироса
la cerilla	спичка
el cenicero	пепельница
la cartera	портфель
el cubo	ведро
el florero	ваза
la flor	цветок
el clavel	гвоздика
la rosa	роза
la cómoda	комод
la butaca	кресло
tercera	третья
