Spanish	Russian
la hora	время, пора, час
gritar	кричать
mi	моя, мой
decir	сказать, говорить
hoy	сегодня
malo	плохой
el humor	настроение
seis	шесть
temprano	рано
por qué?	почему?
nuevo	новый
dejar	оставлять
siempre	всегда
preguntar	спрашивать
porque	потому что
gustar	нравиться
la música	музыка
contestar	отвечать
siete	семь
en punto	точно
medio	половина
ocho	восемь
nueve	девять
el cuarto	четверть, комната
diez	десять
comenzar	начинать
hasta	до, до такого-то времени
bueno	хорошо, хороший, добрый
para	чтобы, для
qué hora es?	который час?
de nuevo	снова, опять
me gusta	мне нравится
estar de mal humor	быть в плохом настроении
estar de buen humor	быть в хорошем настроении
