Spanish	Russian
reñir	ссориться, поссориться
encontar	встречать, встретить
la esquina	угол улицы
antes	перед тем как, до, перед
la taberna	таверна
pedir	просить, делать заказ
el jerez	вино херес
la gente	люди
conocido	знакомый, известный
aquellos	те, эти
hombre	человек
sentarse	садиться, сесть, сидеть
la mujer	жена, женщина
la bebida	напиток
la inspiración	вдохновение
el soldado	солдат
el ardimiento	отвага, смелость
el trabajador	трудящийся
la fuerza	сила
la salud	здоровье
hallar	находить, найти
el goce	удовольствие, наслаждение
la alegría	радость, веселье
exeitar	возбуждать
avivar	воодушевлять
la imaginación	фантазия, воображение
fortificar	укреплять
la voluntad	сила воли, воля
mantener	поддерживать, сохранять
la energía	энергия
ebrio	пьяный
borracho	опьяневший, пьяный
adónde vas?	куда идешь?
a su mesa	к их столу
