Español	Ruso
séptima	седьмая
la habitación	комната
la pared	стена
la puerta	дверь
la ventana	окно
el piso	пол, этаж
pardo	бурый
rojo	красный
amarillo	желтый
el techo	потолок
el escritorio	письменный стол
la mesa	стол
la silla	стул
la butaca	кресло
el armario	шкаф
también	также
unos	несколько
el cenicero	пепельница
el cigarrillo	сигарета
la cerilla	спичка
la tinta	чернила
el tintero	чернильница
el cuadro	картина
