Español	Ruso
el enfermo	больной человек
la visita	посещение
llamar	звать
abrir	открывать, открыть
abre!	открой
su	его, ее, ваш, их
mejor	лучше
medio	половина
oir	слышать
oye	слышит
el trozo	отрывок
la conversación	разговор
bonito	красивый
el vestido	платье
la moda	мода
la falda	юбка
demasiado	слишком, чрезмерно
largo	длинный
mi	мой
último	последний
la revista	журнал
entonces	тога, в таком случае
salir	выходить
salen	выходят
nuestro	наш
nuestros	наши
vuestro	ваш
vuestros	ваши
Dios mío!	Бок мой!
la fiebre	температура

