Español	Ruso
décima	десятая
lavar	мыть
la cocina	кухня
preparar	приготавливать, готовить
el desayuno	завтрак
levantarse	вставать, подниматься
lavarse	умываться
peinarse	причесываться
desayunar	завтракать
el pan	хлеб
la mantequilla	масло
el queso	сыр
el café	кофе
la leche	молоко
afeitarse	бриться
es tarde	поздно
el trabajo	работа
el empleado	служащий
el ministerio	министерство
la relación	отношение
exterior	внешний, заграничный
también	также
el restaurante	ресторан
quedarse	оставаться
después	потом, после
pasear	прогуливаться
el cine	кино
regresar	возвращаться
por la tarde	днем, днём
por la noche	ночью, поздним вечером, вечером

