Spanish	Russian
mucho	очень, многочисленный, много
muchos	многие
vivir	жить
sus	свой, свои, их, его, ей, своя
los padres	родители
tu	твоя, твой
el hermano	брат
la hermana	сестра
la calle	улица
escribir	написать, писать
la carta	письмо
el amigo	друг
llamar	называть, звать, стучать в дверь, называться, назвать, стучать
quien	кто
lunes	понедельник
la costurera	портниха
martes	вторник
ver	видеть, увидеть
el abuelo	дедушка
la abuela	бабушка
los abuelos	дедушка и бабушка
miércoles	среда
jueves	четверг
el tío	дядя
la tía	тетя
los tíos	дядя и тетя
viernes	пятница
el concierto	концерт
sábado	суббота
ayudar	оказывать помощь, помогать
domingo	воскресенье
el teatro	театр
la comedia	комедия
ruborizarse	стыдиться, краснеть, смущаться
la universidad	университет
acercarse	сближаться, подходить ближе, приближаться
el examen	экзамен
muy	весьма, очень
ocupado	занятый, имеющий работу
estudiar	изучать, учиться
bien	хорошо, ладно
el enfermo	больной, болеющий, больной человек
el nieto	внук
la nieta	внучка
tener	держать, иметь
este	этот
esta	эта
que	который, что
el muchacho	подросток, мальчик
la muchacha	девушка, девочка
el hijo	сын
la hija	дочь, дочка
llaman a la puerta	стучать в дверь
quién es?	кто там?
muy ocupado	очень занят
muy bien	очень хорошо
el lunes	в понедельник
partir	делить
