Español	Ruso
el balneario	курорт
contento	довольный, рад
el lugar	место
mandar	послать, прислать
el trozo	отрывок
querido	дорогой
durante	в течение
primera	первая
la semana	неделя
el médico	доктор, врач
aconsejar	советовать, давать совет
poco	мало
hablar	разговаривать, беседовать
la enfermedad	болезнь
sobre todo	прежде всего
cansar	надоедать
excelente	превосходный
la descripción	описание
el hombre	человек
tratar	обращаться, привычно иметь дело
el tranvía	трамвай
la oficina	канцелярия
la redacción	редакция
charlar	разговаривать, беседовать
fumar	курить
beber	пить
marchar	ходить
el pasillo	коридор
la carretera	шоссе
tomar	брать, взять
las aguas	вода
el veraneante	курортник
rápidamente	быстро
el baño	ванна
el resto	остаток, остальное
el día	день
libre	свободный
por ahora	пока, пока ещё
en lugar de	вместо
sobre todo	прежде всего
todo esto	все это
se puede decir	можно сказать
tomar el baño	брать ванну, принимать ванну

