Spanish	Russian
la impresión	впечатление
gracias!	благодарю, спасибо
interesar	интересоваться
lo bueno	добро, все что хорошее
lo malo	все что плохое, зло
el extranjero	иностранец
según	согласно, согласно вашему мнению
difícil	тяжелый, трудный
aún	еще
tantos	столько
el museo	музей
hasta la vista	до свидания
encantado	очарованный
lo grande	всё что больше
el idioma	речь, язык
preferido	любимый
ayer	вчера
varios	несколько, многие
alguno	некоторый, какой-то
la guerra	война
mundial	мировой
parar	останавливаться
lo siento	простите, жалко
tantas preguntas	столько вопросов
harina	мука
tanta harina	столько муки
tanto queso	столько сыра
