Español	Ruso
el domingo	воскресенье
despertarse	просыпаться
comer	есть, кушать
pero	но, однако
estirarse	потягиваться, вытягивать
el calendario	календарь
la fotografía	фотография
mirar	смотреть
pensar	думать
la delicia	удовольствие
hoy	сегодня
coger	брать
leer	читать
beber	пить
fumar	курить
el cigarro	сигара
la novia	невеста
el novio	жених
ya	уже
esperar	ждать, ожидать
dar	дать, давать
la mano	рука
la madre	мать, мама
el padre	отец, папа
besar	поцеловать, целовать
la comida	обед, еда
todo	весь
todos	все
la sopa	суп
la carne	мясо
la patata	картофель, картошка, картоха
la fruta	фрукт
el vino	вино
una taza de café	чашка кофе
la hora de la comida	время обеда
después de la comida	после обеда
el alumno	ученик

