Español	Ruso
el cuento	рассказ, сказка
prometer	обещать
algo	что-то, что-нибудь
pues	затем, итак, ну
a menudo	часто
el coronel	полковник
el apellido	фамилия
la estatura	рост
gigantesco	гигантский
enorme	огромный
los bigotes	усы
la voz	голос
el trueno	гром
infundir	вселять, внушать
el pavor	страх, ужас
jugar	играть, играть в игры
la mirada	взгляд, взор
único	единственный
tuerto	одноглазый
apodar	прозвать
hermoso	красивый, прекрасный
regalar	угощать, дарить
el bizcocho	бисквит
el queso	сыр
el hospiciano	детдомовец
el hospicio	детдом, приют
llamar	назвать, называть, называться
sin embargo	несмотря на это, однако
preferir	предпочитать
la parte	часть, сторона
concebir	зачать, зарождаться
verdadero	искренний, правдивый, настоящий
la pasión	страсть
el animal	животное
la tarde	вечер
llevar	брать с собой, уводить
volver	возвращаться. вернуться
dormir	спать
soltar	выпускать, отпускать
abrir	открывать, отворять

