Español	Ruso
cómo?	какой?
el sombrero	шляпа
negro	черный
blanco	белый
el abrigo	пальто
gris	серый
el tintero	чернильница
verde	зеленый
la silla	стул
el armario	шкаф
la butaca	кресло
segunda	вторая
