Español	Ruso
el padrino	крестный, крестный отец
ciego	слепой
detenerse	задерживаться, останавливаться
el umbral	порог
caramba!	офигеть!, охренеть!, ничего себе!, вот это да!
hacer	делать, сделать
el tiempo	время
ahora	сейчас, теперь
tampoco	также не, тоже не
poder	мочь
acercarse	приближаться, подходить ближе
la escalera	лестница
bajar	сходить, сходить вниз
el rumor	гомон, неясный шум
las voces	голоса
la risa	смех
de repente	неожиданно, вдруг
la aparición	видение, призрак
mágico	магический. полшебный
hallarse	находиться, появляться
la entrada	вход
serio	серьезный
derecho	прямой
conocer	знать, узнавать, быть знакомым
callar	молчать
acordarse	вспоминать, помнить
afirmar	утверждать, подтвержать
delante de	перед, впереди
saber	знать
delgado	тонкий, изящный
el pelo	волос, волосы
rubio	светлый блонд
largo	длинный
pequeño	малый, маленький
exclamar	восклицать
la vez	один раз
las veces	несколько раз
