Spanish	Russian
la escuela	школа
la barraca	барак
el banco	парта
el cartel	карта, плакат
el abecedario	алфавит
pegado	приклеенный
mascado	пережеванный
haber	находиться, быть
más que	больше чем
el objeto	предмет, объект
la caña	розга, палка
maestro	учитель, маэстро
tras	за
renovar	обновлять, обновить
cada	любой, каждый, всякий
pues	затем, ну, итак, потому что, поэтому
gastarse	изнашиваться, портиться
duro	твердый
la testa	голова, лоб
aquel	этот, тот, та
el salvaje	дикарь
imperar	господствовать
el método	метод
moruno	мавританский
el canto	пение
la repetición	повторение
continuo	постоянный, непрерывный
meter	класть, ставить
la cabeza	голова
por esto	поэтому
desde	с, с такого-то времени
mañana	утро
el anochecer	сумерки
se oía	слышно было, слышно, было слышно
la melopea	монотонное пение
fastidioso	утомительный, противный, надоедливый
burlarse	издеваться, насмехаться
el pájaro	птица
el contorno	окрестность
padre nuesto	отче наш
el gorrión	воробей
huir	скрываться, бежать
el chico	малыш, мальчик
el demonio	дьявол, демон, бес
les	их
el parque	парк
posarse	располагаться
inmediato	соседний, близкий
pasarse	прогуливаться, гулять
frente a	напротив чего-то, напротив, перед
fiero	грозный, свирепый
el enemigo	враг
enjaulado	заключенный в клетке, заключенный
repetir	повторять
la amenaza	угроза
feo	безобразный
